Keys,English (Canada)
NEW GAME MENU,
##mainmenu_newgame,New Game
##mainmenu_start,Start
##mainmenu_back,Back
##mainmenu_cancel,Cancel
##mainmenu_select,Select
##mainmenu_selectmap,Select map
##mainmenu_selectamap,Select a map
##mainmenu_play,Play
##mainmenu_edit,Edit
##mainmenu_update,Update
##mainmenu_nomap,No map
,
##mainmenu_update_waiting_title,Updating
##mainmenu_update_waiting_content,Please wait.
##mainmenu_update_waiting_cancel,Cancel
,
##mainmenu_update_timeout_title,Update timed out
##mainmenu_update_timeout_content,Could not complete the update. Please try again or contact support.
##mainmenu_update_timeout_ok,Ok
,
##mainmenu_update_success_title,Update successful
##mainmenu_update_success_content,Awesome!\nA backup can be found in this folder:
##mainmenu_update_success_ok,Ok
,
##mainmenu_update_failure_title,Update failure
##mainmenu_update_failure_content,Could not complete the update. Please try again or contact support.
##mainmenu_update_failure_ok,Ok
,
LOBBY,
##mainmenu_lobby,Lobby
##mainmenu_lobby_playername,Name
##mainmenu_lobby_playername_info,Set your name
##mainmenu_lobby_faction,Color
##mainmenu_lobby_faction_info,Players of the same color share control
##mainmenu_lobby_team,Team
##mainmenu_lobby_team_info,Players of the same team are allies
##mainmenu_lobby_waitingforhost,Waiting for host
##mainmenu_lobby_waitingforplayers,Waiting for players
##mainmenu_lobby_waitingforplayerdownloads,Waiting for downloads
##mainmenu_lobby_waitingfordownload,Waiting for download
##mainmenu_lobby_notready,Not ready
##mainmenu_lobby_ready,Ready
##mainmenu_lobby_ready_info_host,You must be ready to start the game or allow clients to download a map
##mainmenu_lobby_ready_info_client,You must be ready to allow the host to start the game.
##mainmenu_lobby_downloading,Downloading...
##mainmenu_lobby_close,Close
##mainmenu_lobby_close_info,This will kick out all players
##mainmenu_lobby_leave,Leave
##mainmenu_lobby_start,Start
##mainmenu_lobby_playerwaskicked,#x has been kicked by the host.
,
##mainmenu_newgame_header_official,Official
##mainmenu_newgame_header_official_info,Maps made by Sauropod Studio
##mainmenu_newgame_header_usergenerated,User Generated
##mainmenu_newgame_header_usergenerated_info,Maps made by users
##mainmenu_newgame_header_steamworkshop,Steam Workshop
##mainmenu_newgame_header_steamworkshop_info,Maps you are subscribed to
,
##mainmenu_newgame_steambtn_info,Download\nplayer-made maps!
##mainmenu_newgame_steambtn_title,Steam Workshop
##mainmenu_newgame_steambtn_description,Browse
,
##mainmenu_language_steambtn_title,Browse
##mainmenu_language_steambtn_description,Steam Workshop
##mainmenu_language_steambtn_send,Send to workshop
##mainmenu_language_steambtn_resend,Resend to Workshop
##mainmenu_language_steambtn_go,Open on Workshop
##mainmenu_language_unnamed,<Unnamed localization>
,
MAPS,
##map,Map
##map_noneselected,None selected
,
##map_creditisland_name,Credit Island
##map_creditisland_description,"Forged by the goodwill and generosity of nearly 30,000 souls - the legend says that digging under the crust of Credit Island will release the gentle souls trapped there for years."
##map_colibri_name,Colibri
##map_colibri_description,Two bricktron villages in bird's eye view of each other connected by meandering paths. Thread carefully.
##map_komorebi_name,Komorebi
##map_komorebi_description,Quickly! The enemy is close by! Will you overcome your foes in the forest-peppered island of Komorebi?
##map_orosivalley_name,Orosi Valley
##map_orosivalley_description,Deep trenches scar the land of this region like the stark divides of the local bricktron settlements.
##map_tortuga_name,Tortuga
##map_tortuga_description,"Aeons ago, a mysterious power created an explosion at the center of this once great landmass, leaving a crater and a few small islands orbiting each other."
##map_plateau_name,Plateau Mont-Royal
##map_plateau_description,"At the center lies a plain where Bricktrons of all cultures congregate. Not all gatherings are peaceful, however."
##map_riverains_name,Riverains
##map_riverains_description,Two bricktron villages on the banks watch across with suspicion. Who will dare claim the center?
##map_tresmuertos_name,Tres Muertos
##map_tresmuertos_description,Spooky Spooky!!!
##map_troubledheaps_name,Troubled Heaps
##map_troubledheaps_description,This map was released with 0.2 that introduced Invasion mode. It is meant to stage a central point of defense.
##map_zuma_name,Zuma
##map_zuma_description,"Bricktrons bravely defend their land, but these twisted treeline are teeming with Corruptrons."
##map_arecibo_name,Arecibo
##map_arecibo_description,"Nested in the central crater of Arecibo, the enemies could come from anywhere - with no obvious chokepoints to defend. Will your castle stand this ultimate test?"
##map_pineburg_name,Pineburg
##map_pineburg_description,"This map was featured in the Kickstarter Trailer. It features a pre-built castle to explore, and several secondary build areas."
##map_steppingstones_name,Stepping Stones
##map_steppingstones_description,High-perched Bricktrons look down upon their inferior brethrens. Will the lowly Bricktrons revolt?
##map_bigisland_name,Big Island
##map_bigisland_description,A square kilometer surface to challenge the limits of your construction abilities. Requires high performance PC.
##map_exile_name,Exile
##map_exile_description,The tortuous landscape of this inhospitable island is a goulag for Bricktrons.
##map_nova_name,Nova
##map_nova_description,The inhabitants of Nova were masterful bridge builders. This archipelago is no welcoming place for Bricktrons afraid of heights.
##map_invictus_name,Invictus
##map_invictus_description,"Perched on your heightened plateau, fend off attacks from three different fronts."
##map_kairos_name,Kairos
##map_kairos_description,The crater in the middle of these twisted landmasses has served as the arena to many battles.
##map_quasar_name,Quasar
##map_quasar_description,"Several slopes at varying altitude make this the perfect island to build tall, vertical castles."
##map_void_name,Void
##map_void_description,There is nothing here.
##map_newmap,New Map
##map_newmap_description,Empty Map
##map_newmap_forest,New Map Forest
##map_newmap_forest_description,Empty Map with a Forest Biome.
##map_newmap_desert,New Map Desert
##map_newmap_desert_description,Empty Map with a Desert Biome.
##map_newmap_winter,New Map Winter
##map_newmap_winter_description,Empty Map with a Winter Biome.
##map_apex_name,Apex
##map_apex_description,"Delicate flowers grow on the slopes of this mountain, honoring ancient warriors who once fought glorious battles here."
##map_pioneerpass_name,Pioneer Pass
##map_pioneerpass_description,Brave bricktron pioneers find themselves in unfamiliar new lands. What danger awaits them on the other side of this winding passage?
##map_helix_name,Helix
##map_helix_description,"A great mountain stands tall in the center of this frozen land, looming over the bricktrons below. Will they dare to climb it and claim its peak?"
,
LOAD GAME MENU,
##mainmenu_loadgame,Load Game
##mainmenu_loadgame_info,Continue a previously saved game
,
SINGLEPLAYER MENU,
##mainmenu_singleplayer,Singleplayer
##mainmenu_singleplayer_info,Play a game on your own
,
MULTIPLAYER MENU,
##mainmenu_multiplayer,Multiplayer
##mainmenu_multiplayer_enterlobby,Enter lobby
##mainmenu_multiplayer_selectgame,Select game
##mainmenu_multiplayer_info,Play a game with others
##mainmenu_multiplayer_joingame,Join
##mainmenu_multiplayer_joingame_info,Join a game
##mainmenu_multiplayer_hostgame,Host
##mainmenu_multiplayer_hostgame_info,Host a game
##mainmenu_multiplayer_hostnewgame,Host (New Game)
##mainmenu_multiplayer_hostloadgame,Host (Load Game)
##mainmenu_multiplayer_backtolobby,Back to lobby
,
##mainmenu_multiplayer_localservers,Local Server List
##mainmenu_multiplayer_localservers_info,Join a game in your local area network
##mainmenu_multiplayer_publicservers,Public Server List
##mainmenu_multiplayer_publicservers_info,Browse public games online
##mainmenu_multiplayer_noservers,No servers found.
##mainmenu_multiplayer_customaddress,Custom Address
##mainmenu_multiplayer_customaddress_info,Connect to a specific address
##mainmenu_multiplayer_customaddress_ip,IP Address
##mainmenu_multiplayer_customaddress_none,None
##mainmenu_multiplayer_customaddress_port,Port
##mainmenu_multiplayer_join,Join
##mainmenu_multiplayer_cancel,Cancel
##mainmenu_multiplayer_players,Players
##mainmenu_multiplayer_showfull,Show full
##mainmenu_multiplayer_showfull_info,Shows or hides servers that are full
,
##mainmenu_multiplayer_customaddress_ip,IP Address
##mainmenu_multiplayer_customaddress_port,Port
##mainmenu_multiplayer_error,Multiplayer Error
##mainmenu_multiplayer_error_join_failure,Could not connect to server.
##mainmenu_multiplayer_error_host_failure,Could not start server. Port #x already occupied.
##mainmenu_multiplayer_error_client_failure,Server has stopped.
##mainmenu_multiplayer_error_ok,Ok
,
##mainmenu_multiplayer_lobby,Lobby
##mainmenu_multiplayer_lobby_ashost,Lobby (As Host)
##mainmenu_multiplayer_lobby_asclient,Lobby (As Client)
##mainmenu_multiplayer_host,Host
##mainmenu_multiplayer_playerjoined,#x has joined the game.
##mainmenu_multiplayer_playerleft,#x has left the game.
##mainmenu_multiplayer_playerrenamed,#x1 has renamed from #x2.
##mainmenu_multiplayer_startgame,Start Game
##mainmenu_multiplayer_leave,Leave
##mainmenu_multiplayer_privacy,Privacy
##mainmenu_multiplayer_privacy_private,Private
##mainmenu_multiplayer_privacy_friendsonly,Friends only
##mainmenu_multiplayer_privacy_public,Public
##mainmenu_multiplayer_lobby_leaving,Leaving lobby
##mainmenu_multiplayer_lobby_leaving_info,Please wait...
