Keys,French (Canada)
NEW GAME MENU,
##mainmenu_newgame,Nouvelle partie
##mainmenu_start,Lancer la partie
##mainmenu_back,Retour
##mainmenu_cancel,Annuler
##mainmenu_select,Sélectionner
##mainmenu_selectmap,Sélectionner la carte
##mainmenu_selectamap,Sélectionner une carte
##mainmenu_play,Jouer
##mainmenu_edit,Modifier
##mainmenu_update,Actualiser
##mainmenu_nomap,Aucune carte
,
##mainmenu_update_waiting_title,Mise à jour
##mainmenu_update_waiting_content,Veuillez patienter.
##mainmenu_update_waiting_cancel,Canceler
,
##mainmenu_update_timeout_title,La mise à jour a pris trop de temps
##mainmenu_update_timeout_content,La mise à jour n'a pas pu se completer. Veuillez réessayer ou contacter le support.
##mainmenu_update_timeout_ok,Ok
,
##mainmenu_update_success_title,La mise à jour est un succcès
##mainmenu_update_success_content,Super!\nL'original a été déplacé ici:
##mainmenu_update_success_ok,Ok
,
##mainmenu_update_failure_title,La mise à jour a échouée
##mainmenu_update_failure_content,La mise à jour n'a pas pu se completer. Veuillez réessayer ou contacter le support.
##mainmenu_update_failure_ok,Ok
,
LOBBY,
##mainmenu_lobby,Lobby
##mainmenu_lobby_playername,Nom
##mainmenu_lobby_playername_info,Modifier votre nom
##mainmenu_lobby_faction,Couleur
##mainmenu_lobby_faction_info,Les joueurs d'une même couleur partage le contrôle
##mainmenu_lobby_team,Équipe
##mainmenu_lobby_team_info,Les joueurs d'une même équipe sont alliés
##mainmenu_lobby_waitingforhost,En attente de l'hôte
##mainmenu_lobby_waitingforplayers,En attente des joueurs
##mainmenu_lobby_waitingforplayerdownloads,En attente de téléchargements
##mainmenu_lobby_waitingfordownload,En attente du téléchargement
##mainmenu_lobby_notready,Pas prêt
##mainmenu_lobby_ready,Prêt
##mainmenu_lobby_ready_info_host,Vous devez être prêt pour débuter la partie et permettre aux clients de télécharger la carte
##mainmenu_lobby_ready_info_client,Vous devez être prêt pour permettre à l'hôte de débutter la partie
##mainmenu_lobby_downloading,En téléchargement..
##mainmenu_lobby_close,Quitter
##mainmenu_lobby_close_info,Quitter et expulser tous les joueurs
##mainmenu_lobby_leave,Quitter
##mainmenu_lobby_start,Débuter
##mainmenu_lobby_playerwaskicked,#x a été explulsé par l'hôte.
,
##mainmenu_newgame_header_official,Cartes Officielles
##mainmenu_newgame_header_official_info,Cartes réalisées par Sauropod Studio
##mainmenu_newgame_header_usergenerated,Générées par l'utilisateur
##mainmenu_newgame_header_usergenerated_info,Produites à l'aide de l'éditeur de monde
