Keys,English (Canada),French (Canada)
NEW GAME MENU,,
##mainmenu_newgame,New Game,Nouvelle partie
##mainmenu_start,Start,Lancer la partie
##mainmenu_back,Back,Retour
##mainmenu_cancel,Cancel,Annuler
##mainmenu_select,Select,Sélectionner
##mainmenu_selectmap,Select map,Sélectionner la carte
##mainmenu_selectamap,Select a map,Sélectionner une carte
##mainmenu_play,Play,Jouer
##mainmenu_edit,Edit,Modifier
##mainmenu_update,Update,Actualiser
##mainmenu_nomap,No map,Aucune carte
,,
##mainmenu_update_waiting_title,Updating,Mise à jour
##mainmenu_update_waiting_content,Please wait.,Veuillez patienter.
##mainmenu_update_waiting_cancel,Cancel,Canceler
,,
##mainmenu_update_timeout_title,Update timed out,La mise à jour a pris trop de temps
##mainmenu_update_timeout_content,Could not complete the update. Please try again or contact support.,La mise à jour n'a pas pu se completer. Veuillez réessayer ou contacter le support.
##mainmenu_update_timeout_ok,Ok,Ok
,,
##mainmenu_update_success_title,Update successful,La mise à jour est un succcès
##mainmenu_update_success_content,Awesome!\nA backup can be found in this folder:,Super!\nL'original a été déplacé ici:
##mainmenu_update_success_ok,Ok,Ok
,,
##mainmenu_update_failure_title,Update failure,La mise à jour a échouée
##mainmenu_update_failure_content,Could not complete the update. Please try again or contact support.,La mise à jour n'a pas pu se completer. Veuillez réessayer ou contacter le support.
##mainmenu_update_failure_ok,Ok,Ok
,,
LOBBY,,
##mainmenu_lobby,Lobby,Lobby
##mainmenu_lobby_playername,Name,Nom
##mainmenu_lobby_playername_info,Set your name,Modifier votre nom
##mainmenu_lobby_faction,Color,Couleur
##mainmenu_lobby_faction_info,Players of the same color share control,Les joueurs d'une même couleur partage le contrôle
##mainmenu_lobby_team,Team,Équipe
##mainmenu_lobby_team_info,Players of the same team are allies,Les joueurs d'une même équipe sont alliés
##mainmenu_lobby_waitingforhost,Waiting for host,En attente de l'hôte
##mainmenu_lobby_waitingforplayers,Waiting for players,En attente des joueurs
##mainmenu_lobby_waitingforplayerdownloads,Waiting for downloads,En attente de téléchargements
##mainmenu_lobby_waitingfordownload,Waiting for download,En attente du téléchargement
##mainmenu_lobby_notready,Not ready,Pas prêt
##mainmenu_lobby_ready,Ready,Prêt
##mainmenu_lobby_ready_info_host,You must be ready to start the game or allow clients to download a map,Vous devez être prêt pour débuter la partie et permettre aux clients de télécharger la carte
##mainmenu_lobby_ready_info_client,You must be ready to allow the host to start the game.,Vous devez être prêt pour permettre à l'hôte de débutter la partie
##mainmenu_lobby_downloading,Downloading...,En téléchargement..
##mainmenu_lobby_close,Close,Quitter
##mainmenu_lobby_close_info,This will kick out all players,Quitter et expulser tous les joueurs
##mainmenu_lobby_leave,Leave,Quitter
##mainmenu_lobby_start,Start,Débuter
##mainmenu_lobby_playerwaskicked,#x has been kicked by the host.,#x a été explulsé par l'hôte.
,,
##mainmenu_newgame_header_official,Official,Cartes Officielles
##mainmenu_newgame_header_official_info,Maps made by Sauropod Studio,Cartes réalisées par Sauropod Studio
##mainmenu_newgame_header_usergenerated,User Generated,Générées par l'utilisateur
##mainmenu_newgame_header_usergenerated_info,Maps made by users,Produites à l'aide de l'éditeur de monde
##mainmenu_newgame_header_steamworkshop,Steam Workshop,Steam Workshop
##mainmenu_newgame_header_steamworkshop_info,Maps you are subscribed to,Cartes auxquelles vous êtes abonné
,,
##mainmenu_newgame_steambtn_info,Download\nplayer-made maps!,Téléchargez des cartes \nfaites par d'autres joueurs!
##mainmenu_newgame_steambtn_title,Steam Workshop,Steam Workshop
